,accuracy_score,average_precision_score,f1_score,fn,fp,name,roc_auc_score,tn,tp
0,0.7998748566065284,0.3683176666607553,0.3664575767580059,125,1794,SVR-C1000epsilon0.001gamma0.001kernelrbf--tfidf,0.8764991449492582,7115,555
0,0.8813223485243509,0.5767638555844493,0.483197093551317,148,990,SVR-C1000epsilon0.001gamma0.0001kernelrbf--tfidf,0.9176667018811117,7919,532
0,0.7996662842840755,0.36793195947075374,0.3666336960105506,124,1797,SVR-C1000epsilon0.0001gamma0.001kernelrbf--tfidf,0.876444342469281,7112,556
0,0.8814266346855772,0.5773272106950957,0.4834166288050886,148,989,SVR-C1000epsilon0.0001gamma0.0001kernelrbf--tfidf,0.9176383102348583,7920,532
0,0.7849619355511523,0.19756486827710348,0.3445645263827082,138,1924,DecisionTreeRegressor-criterionsquared_errormax_depthNonemin_samples_split2splitterbest--tfidf,0.8053755950690974,6985,542
0,0.7823547815204922,0.204959589462758,0.3422628427355815,137,1950,DecisionTreeRegressor-criterionsquared_errormax_depthNonemin_samples_split5splitterbest--tfidf,0.8111688114464554,6959,543
0,0.8962352695797268,0.25300313331108415,0.35431537962362103,407,588,DecisionTreeRegressor-criterionsquared_errormax_depth10min_samples_split2splitterbest--tfidf,0.7215769083478042,8321,273
0,0.8955052664511419,0.25277943753861776,0.35271317829457366,407,595,DecisionTreeRegressor-criterionsquared_errormax_depth10min_samples_split5splitterbest--tfidf,0.7210557895848877,8314,273
0,0.8954009802899155,0.2579533984200009,0.4082595870206489,334,669,DecisionTreeRegressor-criterionsquared_errormax_depth20min_samples_split2splitterbest--tfidf,0.7688461106745987,8240,346
0,0.8943581186776515,0.26432135204308826,0.4072557050906963,332,681,DecisionTreeRegressor-criterionsquared_errormax_depth20min_samples_split5splitterbest--tfidf,0.7710649508428358,8228,348
0,0.8887266659714256,0.2514685160181816,0.4235548352242032,288,779,DecisionTreeRegressor-criterionsquared_errormax_depth30min_samples_split2splitterbest--tfidf,0.7977821502380276,8130,392
0,0.8894566691000104,0.2523890368938433,0.4220283533260632,293,767,DecisionTreeRegressor-criterionsquared_errormax_depth30min_samples_split5splitterbest--tfidf,0.7931392907370604,8142,387
0,0.8769423297528418,0.2543977422227599,0.4129353233830846,265,915,DecisionTreeRegressor-criterionsquared_errormax_depth40min_samples_split2splitterbest--tfidf,0.8037680831677154,7994,415
0,0.8766294712691626,0.2386589101729228,0.41637888505180065,258,925,DecisionTreeRegressor-criterionsquared_errormax_depth40min_samples_split5splitterbest--tfidf,0.8059256832152549,7984,422
0,0.8705808739180311,0.23244461454406007,0.4137931034482759,242,999,DecisionTreeRegressor-criterionsquared_errormax_depth50min_samples_split2splitterbest--tfidf,0.8070827253339321,7910,438
0,0.8606736886015226,0.23219133690452826,0.3960216998191682,242,1094,DecisionTreeRegressor-criterionsquared_errormax_depth50min_samples_split5splitterbest--tfidf,0.8073148930691371,7815,438
