,accuracy_score,average_precision_score,f1_score,fn,fp,name,roc_auc_score,tn,tp
0,0.7816247783919074,0.5074547080654898,0.36236297198538364,85,2009,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-4-800,0.9048771731164124,6900,595
0,0.8104077588903953,0.535790175231695,0.39681486396814863,82,1736,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-1-1000,0.91557999841535,7173,598
0,0.7962248409636041,0.518535240580318,0.3796825396825397,82,1872,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-2-1000,0.909226789829188,7037,598
0,0.7863176556470957,0.5162733691720446,0.3693444136657433,80,1969,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-3-1000,0.9069624735066324,6940,600
0,0.7832933569715299,0.5142915157661743,0.36413708690330476,85,1993,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-4-1000,0.9050075766079246,6916,595
0,0.8379393054541663,0.6337844025279402,0.4320175438596492,89,1465,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-1-2000,0.9331401490891563,7444,591
0,0.826572113880488,0.6181965494656617,0.4187347081440056,81,1582,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-2-2000,0.9298924418796591,7327,599
0,0.8246949629784127,0.6095600980713424,0.4173310225303293,78,1603,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-3-2000,0.9286716010907674,7306,602
0,0.8253206799457712,0.6017367411750955,0.4177963156065346,79,1596,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-4-2000,0.9278140743332913,7313,601
0,0.8493064970278444,0.6802192856013397,0.4553335846211836,76,1369,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-1-4000,0.9455783312314712,7540,604
0,0.8419021795807696,0.6666574281760447,0.44711889132020427,67,1449,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-2-4000,0.943004182815791,7460,613
0,0.8464907706747314,0.6637490390845734,0.4527881040892194,71,1401,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-3-4000,0.9419078030808237,7508,609
0,0.8474293461257691,0.6593640490717075,0.45185462720119896,77,1386,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-4-4000,0.9401687322139543,7523,603
0,0.8531650849932214,0.7003656048914444,0.46300533943554534,73,1335,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-1-8000,0.9483691310175434,7574,607
0,0.8484722077380331,0.7001591568339794,0.4584420424897503,65,1388,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-2-8000,0.9486193736670783,7521,615
0,0.8503493586401084,0.6984454250328924,0.4603234298608499,68,1367,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-3-8000,0.9485253676057919,7542,612
0,0.8521222233809573,0.6966357310165405,0.46083650190114067,74,1344,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-4-8000,0.9477255320132318,7565,606
0,0.8534779434769006,0.7033475965035414,0.4647619047619047,70,1335,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-1-10000,0.9490701735852047,7574,610
0,0.84972364167275,0.7058300898241116,0.4592870544090056,68,1373,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-2-10000,0.9488025988260385,7536,612
0,0.8509750756074669,0.704753341809472,0.4617702448210923,67,1362,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-3-10000,0.9490648914184598,7547,613
0,0.8528522265095422,0.704775080952758,0.4641093809342955,69,1342,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-4-10000,0.9491823370946764,7567,611
0,0.8510793617686933,0.7047785203495602,0.463963963963964,62,1366,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-1-20000,0.9493271840108812,7543,618
0,0.854103660444259,0.7283641507059846,0.4670476190476191,67,1332,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-2-20000,0.9519322000884762,7577,613
0,0.8556679528626552,0.7290578118803042,0.46850998463901694,70,1314,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-3-20000,0.9521372141852588,7595,610
0,0.8577536760871832,0.7263896004766379,0.47172734314484893,71,1293,ComplementNB-alpha0.8fit_priorTruenormFalse-tfidf-1-4-20000,0.9516864142671324,7616,609
