,accuracy_score,average_precision_score,f1_score,fn,fp,name,roc_auc_score,tn,tp
0,0.7521083920918015,0.7337879158903198,0.6780391452684504,562,1231,ComplementNB-alpha0.4fit_priorTruenormFalse--tfidf-ngram,0.8390541757158645,3552,1888
0,0.7485137563943038,0.7319651079555048,0.679132122067384,525,1294,ComplementNB-alpha0.4fit_priorFalsenormTrue--tfidf-ngram,0.8384158605947083,3489,1925
0,0.7521083920918015,0.7337879158903198,0.6780391452684504,562,1231,ComplementNB-alpha0.4fit_priorFalsenormFalse--tfidf-ngram,0.8390541757158645,3552,1888
0,0.7565325591041062,0.7482943164624416,0.6851421419631682,534,1227,ComplementNB-alpha0.6000000000000001fit_priorTruenormTrue--tfidf-ngram,0.8481199571612045,3556,1916
0,0.7575003456380478,0.7491697993307608,0.6833935018050542,557,1197,ComplementNB-alpha0.6000000000000001fit_priorTruenormFalse--tfidf-ngram,0.8484237541974766,3586,1893
0,0.7565325591041062,0.7482943164624416,0.6851421419631682,534,1227,ComplementNB-alpha0.6000000000000001fit_priorFalsenormTrue--tfidf-ngram,0.8481199571612045,3556,1916
0,0.7575003456380478,0.7491697993307608,0.6833935018050542,557,1197,ComplementNB-alpha0.6000000000000001fit_priorFalsenormFalse--tfidf-ngram,0.8484237541974766,3586,1893
0,0.7630305544034287,0.7590518219640384,0.6910598413842826,533,1181,ComplementNB-alpha0.8fit_priorTruenormTrue--tfidf-ngram,0.854765431993412,3602,1917
0,0.7635835752799668,0.7594195816606409,0.690329590727997,544,1166,ComplementNB-alpha0.8fit_priorTruenormFalse--tfidf-ngram,0.8549005192710578,3617,1906
0,0.7630305544034287,0.7590518219640384,0.6910598413842826,533,1181,ComplementNB-alpha0.8fit_priorFalsenormTrue--tfidf-ngram,0.854765431993412,3602,1917
0,0.7635835752799668,0.7594195816606409,0.690329590727997,544,1166,ComplementNB-alpha0.8fit_priorFalsenormFalse--tfidf-ngram,0.8549005192710578,3617,1906
